epoch,loss,accuracy,val_loss,val_accuracy
1,2.0658323764801025,0.28969594836235046,1.5878998041152954,0.37081339955329895
2,1.2699077129364014,0.5595439076423645,0.7693576216697693,0.8062201142311096
3,0.7391920685768127,0.7474662065505981,0.40214651823043823,0.9162679314613342
4,0.4685734510421753,0.8505067825317383,0.23746199905872345,0.9497607946395874
5,0.348162978887558,0.8910472989082336,0.19597820937633514,0.9497607946395874
6,0.30038920044898987,0.9096283912658691,0.17803466320037842,0.9641148447990417
7,0.26717299222946167,0.9193412065505981,0.16990573704242706,0.9712918400764465
8,0.22898650169372559,0.9290540814399719,0.13118323683738708,0.9688995480537415
9,0.1941409409046173,0.9400337934494019,0.12725576758384705,0.9736841917037964
10,0.18887631595134735,0.9408783912658691,0.13667114078998566,0.9641148447990417
11,0.1716892421245575,0.9518581032752991,0.119879350066185,0.9784688949584961
12,0.1708826869726181,0.9493243098258972,0.126421257853508,0.9712918400764465
13,0.16654862463474274,0.9451013803482056,0.13584867119789124,0.9641148447990417
14,0.1405366212129593,0.9581925868988037,0.11030785739421844,0.9784688949584961
15,0.1379343867301941,0.9565033912658691,0.1025242954492569,0.980861246585846
16,0.13829456269741058,0.9594594836235046,0.11126359552145004,0.9832535982131958
17,0.12896695733070374,0.9632601141929626,0.1131865605711937,0.980861246585846
18,0.11644407361745834,0.9649493098258972,0.11405341327190399,0.980861246585846
19,0.11066534370183945,0.9657939076423645,0.10813198983669281,0.9832535982131958
20,0.10950863361358643,0.9657939076423645,0.10786966979503632,0.9880383014678955
21,0.1145331934094429,0.9666385054588318,0.11189685016870499,0.980861246585846
22,0.10514157265424728,0.9674831032752991,0.12076452374458313,0.9784688949584961
23,0.09594734013080597,0.9717060923576355,0.11497586220502853,0.9832535982131958
24,0.08038207143545151,0.9771959185600281,0.11449257284402847,0.9832535982131958
25,0.0872177705168724,0.9776182174682617,0.11366868019104004,0.9856459498405457
26,0.08804342895746231,0.9750844836235046,0.12170176208019257,0.980861246585846
27,0.091942198574543,0.9755067825317383,0.12012279033660889,0.980861246585846
28,0.09237563610076904,0.9712837934494019,0.10937397181987762,0.9832535982131958
29,0.0884706974029541,0.9729729890823364,0.10851283371448517,0.980861246585846
30,0.07989955693483353,0.9763513803482056,0.11827034503221512,0.980861246585846
